,348710,8564,297008,217274,196226,28869,113359,305544,219198,232271,249716,111637,221853,121685,111634,136291,4185,78819,208880,53403,22942,188678,193464,118446,218685,386098,327330,296987,318400,91859,26907,286593,314935,16617,98004,227306,15468,63,352962,104920,130840,16627,95990,305755,13492,193866,88497,33822,29455,192393,22554,19937,48071,199806,183301,346926,31022,128414,60752,293444,177021,193752,59159,180448,6479,92406,5171,13323,71120,31822,347278,121995,262491,74234,11140,267037,10570,45015,7309,134803,332817,300810,3459,87286,77199,100979,71091,8235,351931,191916,109776,24956,13757,174835,297902,75821,212205,173946,242760,373097,209604,20695,19806,143733,102829,288230,368197,326000,329378,385098,322597,260153,34383,264505,135723,248224,96057,477,77931,210002,339102,178878,377508,95042,148243,295414,9771,37629,37781,390095,57495,261336,22086,291547,195721,360697,121978,5796,117039,385479,60295,369088,385418,189231,130091,230946,70298,319407,173831,124105,338531,169137,243909,370129,384127,50558,21936,112631,33871,47280,149578,47350,260985,150566,257934,350019,281079,74764,128665,107478,193067,326236,285115,286860,160076,9324,157682,13597,294343,376159,106948,10428,107057,94820,359994,182423,48852,224867,80772,105725,114106,69461,95293,125092,85647,336065,24472,135815,21798,230757,206824,3897,150429,90479,2013,13194,90386,222437,350824,282942,49560,163688,210000,173212,23080,74932,244664,231270,115087,325557,301058,25993,299234,277522,187433,17379,201536,236897,232415,290463,310960,277667,188653,9915,180386,172669,6385,294646,690,148975,48106,285510,144382,3961,302092,34053,306503,104472,274531,117507,119090,146360,29407,89283,217154,192883,303546,142444,80967,290510,124620,352851,322102,18684,1060,66451,133377,97384,207876,2022,72083,80907,1709
3009|6,1,1,1,2,6,6,1,2,2,3,5,1,2,3,8,20,1,1,2,2,2,2,9,1,1,1,2,2,3,3,3,4,8,14,1,1,1,2,2,4,4,8,10,11,10,3,6,4,3,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3460|86,0,0,6,34,0,0,0,0,0,0,6,0,4,0,16,135,0,0,0,0,16,0,0,0,15,0,19,3,0,0,0,0,0,0,0,2,0,0,0,0,0,26,110,0,0,0,0,0,0,0,2,0,4,1,2,4,2,4,1,8,3,18,2,6,11,6,2,4,24,34,1,3,8,15,1,2,3,3,3,4,6,8,16,2,2,2,2,4,10,15,38,41,2,3,3,3,20,11,5,9,15,16,24,56,68,1,1,1,1,1,1,1,2,2,4,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,6,6,7,8,8,8,8,8,11,12,12,12,12,12,13,16,16,17,17,18,20,20,20,20,20,24,30,47,50,54,66,75,1,2,2,3,3,4,4,4,5,5,9,9,10,16,20,2,2,4,4,4,6,6,9,13,18,24,25,36,60,361,3,4,16,30,44,10,23,84,8,31,2,100,1,16,4,18,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4162|6,0,0,7,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,1,0,0,20,0,6,0,0,72,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,16,0,0,5,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,12,0,6,1,0,1,0,2,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,5,0,0,0,8,0,0,1,1,0,0,0,0,3,2,0,1,0,1,0,0,0,0,4,0,12,0,0,60,0,0,0,8,0,0,0,0,0,0,0,10,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,3,2,45,6,7,9,1,2,1,2,1,2,2,2,3,12,128,2,2,3,3,1,5,11,1,1,3,10,1,2,1,4,1,1,2,7,2,8,1,3,60,33,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6541|6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,48,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,49,0,0,0,0,0,0,0,40,0,0,1,5,4,20,192,7,10,17,1,1,36,45,23,45
